Source,Target,Weight,freqT1,freqT2,times,timesT1,timesT2
836,1844,1,0,1,8,NULL,8
946,1845,1,0,1,6,NULL,6
580,2002,3,1,2,40,7,14
105,702,1,0,0,6,NULL,NULL
2032,1013,1,0,0,6,NULL,NULL
965,405,3.000,1.000,2.000,32.000,7.000,22.000
662,1800,1.000,0.000,0.000,7.000,NULL,NULL
2287,2288,1.000,0.000,0.000,7.000,NULL,NULL
1136,1301,1,0,1,8,NULL,8
2258,716,1,0,0,6,NULL,NULL
580,582,2,0,1,15,NULL,9
554,545,8,3,4,135,62,49
612,1325,7,1,3,91,12,45
716,251,1,0,0,6,NULL,NULL
612,1302,1,0,0,7,NULL,NULL
1422,1497,1,0,0,7,NULL,NULL
862,261,1,0,0,6,NULL,NULL
1560,66,9,5,4,173,43,44
2058,658,2,0,0,14,NULL,NULL
533,1427,1,1,0,6,6,NULL
1232,1826,1,0,0,7,NULL,NULL
1976,645,1,1,0,7,7,NULL
589,590,1,0,0,8,NULL,NULL
1002,816,2,2,0,17,13,NULL
1736,2265,1,0,0,6,NULL,NULL
1023,1162,2,0,0,12,NULL,NULL
1246,1302,1,0,1,6,NULL,6
2270,839,1,0,0,6,NULL,NULL
3,960,2,0,0,13,NULL,NULL
1661,82,1,0,0,7,NULL,NULL
101,1413,1,0,0,6,NULL,NULL
842,2289,1,0,1,41,NULL,26
1461,631,1,0,0,6,NULL,NULL
1160,580,1,0,0,6,NULL,NULL
917,1870,17,5,10,417,115,197
1150,2005,1,0,0,15,NULL,NULL
248,1218,1,0,0,6,NULL,NULL
287,1580,1,0,0,6,NULL,NULL
2261,1438,10,1,2,101,10,22
2242,651,1,1,0,6,6,NULL
715,2076,1,0,0,6,NULL,NULL
1177,1216,6,0,4,50,NULL,26
520,89,2,1,0,13,6,NULL
560,830,1,0,0,11,NULL,NULL
641,249,1,0,0,6,NULL,NULL
1293,1293,2,0,0,15,NULL,NULL
844,1842,1,0,0,6,NULL,NULL
2289,1426,1,0,0,7,NULL,NULL
1136,703,1,0,0,6,NULL,NULL
972,1882,1,0,1,21,NULL,13
1172,2146,1,0,0,7,NULL,NULL
1205,1204,2,1,1,40,17,17
864,1225,1,1,0,21,14,NULL
1794,580,2,0,0,13,NULL,NULL
147,1417,1,1,0,13,11,NULL
2032,1826,1,0,0,9,NULL,NULL
917,871,1,0,1,6,NULL,6
1517,1437,2,1,1,67,35,19
953,2085,1,0,0,7,NULL,NULL
646,553,1,0,0,8,NULL,NULL
712,1723,1,0,1,7,NULL,6
337,481,1,0,0,7,NULL,NULL
703,716,1,0,0,6,NULL,NULL
1023,555,1,0,0,6,NULL,NULL
2000,923,1,1,0,8,7,NULL
1487,1481,1,0,1,17,NULL,12
16,1860,1,1,0,7,7,NULL
1130,1440,1,0,0,8,NULL,NULL
835,835,41,34,21,1560,998,402
1551,871,1,0,0,7,NULL,NULL
268,1394,1,0,0,6,NULL,NULL
1421,703,1,0,0,6,NULL,NULL
2111,98,1,0,1,7,NULL,6
917,2076,6,0,2,47,NULL,15
959,329,6,2,5,110,21,68
1426,2,1,0,0,6,NULL,NULL
43,49,3,3,3,356,118,153
974,1435,1,0,0,6,NULL,NULL
862,1068,1,0,0,6,NULL,NULL
988,1715,1,0,1,11,NULL,10
2008,921,1,1,1,44,21,17
98,61,1,0,0,6,NULL,NULL
6,268,1,0,0,11,NULL,NULL
292,249,1,0,0,6,NULL,NULL
1400,357,2,0,1,12,NULL,6
1445,583,1,0,0,8,NULL,NULL
1517,1228,20,6,10,419,108,183
1226,336,1,0,0,6,NULL,NULL
1535,16,1,0,0,6,NULL,NULL
1422,2287,1,0,0,6,NULL,NULL
1205,391,1,0,0,8,NULL,NULL
2271,620,1,1,1,17,6,10
871,2287,3,0,1,24,NULL,7
1440,2303,1,0,0,6,NULL,NULL
1202,1481,3,0,0,23,NULL,NULL
1255,703,1,1,0,6,6,NULL
1017,694,1,0,0,6,NULL,NULL
1266,662,1,0,1,10,NULL,8
