Id,enrollYear,nStu,nTrans,nTransDate
2,2012,14,6761,312
3,2012,15,4514,300
4,2013,29,17868,298
5,2012,27,12215,299
6,2012,21,15422,310
7,NULL,6,689,188
12,NULL,2,309,33
16,NULL,35,12655,304
17,2013,18,15077,293
18,2014,15,11006,284
19,2013,21,11607,297
20,2013,22,16899,298
22,2011,27,7848,298
23,NULL,2,83,25
25,2013,28,19239,293
28,2013,24,16298,292
30,NULL,2,124,34
32,2011,20,8032,296
34,NULL,8,560,162
36,2013,32,18759,300
37,2014,28,27491,292
38,2012,23,8689,270
40,NULL,1,651,197
42,2014,26,16825,297
43,2014,28,21035,295
44,NULL,1,3,1
48,2011,30,12271,279
49,2014,26,24852,284
53,NULL,2,51,13
56,NULL,3,1457,267
60,NULL,2,808,199
61,2013,23,17919,298
64,2014,20,13800,286
65,2013,34,16294,305
66,2013,20,10707,295
67,2011,24,16407,309
68,2012,24,16093,304
70,2012,32,12914,308
73,2012,22,14980,310
76,2012,24,16252,306
77,2012,33,26642,304
79,2012,16,8337,306
80,2011,24,16043,309
82,2011,24,15010,285
85,NULL,4,259,35
86,2011,26,21070,309
89,2011,24,12050,309
90,2011,25,19265,308
91,2012,28,21555,302
92,2014,17,17278,293
94,NULL,2,188,35
95,NULL,15,1374,154
98,2014,26,22254,296
100,2012,14,5533,290
101,2014,27,13642,283
104,2013,24,10655,306
105,2013,36,15322,313
106,2012,23,13568,297
115,2014,21,17876,294
119,NULL,1,554,189
123,2012,27,18023,310
125,NULL,1,575,136
126,NULL,1,27,8
131,2012,26,10662,293
135,2011,30,13497,307
138,2014,17,8454,283
143,2011,16,9470,278
147,2011,21,8471,298
155,2014,12,9593,290
177,NULL,1,2,1
210,NULL,4,284,34
215,NULL,10,476,146
217,NULL,2,160,32
223,NULL,17,7009,279
224,NULL,1,24,8
225,NULL,3,1125,232
226,2011,29,17248,294
227,2011,23,11931,295
228,NULL,3,264,52
229,2011,18,11709,277
230,2011,30,19235,313
231,NULL,17,565,48
232,NULL,5,213,35
233,2011,23,16246,314
235,2012,27,24189,310
238,NULL,2,299,32
239,2012,20,10935,313
240,2011,39,18371,310
241,2011,25,13025,309
244,NULL,3,286,82
246,2011,27,21131,308
248,2011,26,17873,311
249,2012,25,22124,306
250,2013,15,5452,294
251,2012,37,23366,310
252,2013,19,11853,296
254,2011,24,7457,297
255,2011,17,7850,305
256,2013,20,17163,298
257,2014,25,20067,294
258,2011,12,7532,296
259,2011,16,3763,268
260,NULL,2,643,199
261,2013,30,29222,308
262,2012,33,25052,310
264,2011,14,8744,302
265,NULL,2,838,231
266,NULL,1,247,114
267,2011,16,12505,288
268,2013,23,15936,299
269,2012,13,12238,308
270,2012,21,17632,309
275,NULL,2,149,76
276,2014,17,12118,283
277,2013,30,24433,310
278,NULL,1,90,37
279,NULL,3,1711,266
280,NULL,2,1440,220
281,2013,16,12958,289
282,NULL,3,2203,280
283,NULL,7,6741,293
284,2013,25,13853,272
285,2014,23,19449,289
286,NULL,1,620,234
287,2014,32,30018,297
288,NULL,9,4671,266
289,NULL,2,2115,274
290,2012,22,17110,269
291,NULL,6,662,197
292,NULL,5,4251,245
293,2014,30,27132,289
294,2014,19,8970,284
295,2013,12,10549,310
296,NULL,10,4245,225
297,NULL,5,3772,278
298,2013,11,6290,285
299,2014,21,10868,283
300,2014,12,9927,287
316,NULL,1,68,40
319,2012,34,13742,288
321,2013,24,17035,303
322,2012,13,5396,296
327,2014,33,25483,295
328,2013,23,17614,309
329,2012,23,11078,288
330,NULL,2,112,34
336,2013,28,21519,300
337,2014,24,21385,284
338,2013,19,9641,297
339,2011,15,6955,280
340,NULL,37,16558,296
342,2011,17,8654,307
343,2012,26,10845,310
345,NULL,8,5107,294
346,2013,22,13761,303
348,2012,20,17423,308
353,2014,25,13303,290
355,2014,28,22364,294
357,2011,30,17085,309
358,NULL,2,130,33
361,NULL,1,4,3
364,2014,21,8338,276
370,2013,21,13768,300
371,2013,17,8825,297
375,NULL,2,190,33
378,NULL,13,2031,249
380,NULL,1,233,76
382,NULL,2,163,76
384,NULL,6,500,34
385,2011,27,22654,308
387,NULL,1,899,262
390,NULL,1,89,32
391,2011,24,19975,310
392,NULL,3,417,165
393,2012,24,15564,306
396,2012,23,9534,298
402,2012,23,5847,196
405,2011,24,14518,299
406,2014,20,19997,294
409,2013,38,21589,300
415,2013,18,5943,288
417,2014,27,20889,296
419,2013,38,14723,310
420,2011,22,11345,301
425,NULL,4,197,30
429,2012,26,10275,303
430,2013,25,9919,303
431,2013,19,12512,296
438,2012,30,18356,304
439,2011,28,17612,309
442,2014,16,10510,282
449,2014,28,25541,284
457,2013,33,19825,305
469,NULL,1,132,49
481,2014,20,18627,295
505,NULL,5,127,31
515,NULL,16,1413,238
517,NULL,3,666,244
519,NULL,5,932,138
520,2011,31,20408,310
522,NULL,2,147,62
525,NULL,7,779,34
526,2011,24,10728,276
527,NULL,2,130,23
531,NULL,1,54,19
532,NULL,1,128,38
533,NULL,34,4121,296
534,NULL,5,425,34
536,NULL,10,1716,276
537,2011,21,14447,295
539,NULL,10,656,181
540,2012,16,7392,295
541,NULL,4,2814,299
542,NULL,12,5945,296
543,2013,29,21877,306
544,2012,21,11275,310
545,2011,16,10575,311
546,2011,27,15529,309
547,NULL,1,86,19
549,2011,19,5859,267
550,2012,24,17879,297
551,2012,14,4100,290
552,2012,25,16986,311
553,2011,26,19823,309
554,2011,27,16797,305
555,2011,24,17619,310
556,2012,37,22622,310
557,2011,23,15104,308
558,2012,34,21280,307
560,2012,24,8817,301
561,NULL,8,6226,309
562,NULL,3,1262,233
563,2011,12,6954,268
564,2012,16,7741,309
565,2012,22,12245,297
568,2013,24,21550,308
569,2013,32,26555,299
576,NULL,1,1082,276
577,2013,19,14890,298
580,2014,31,28758,289
581,2014,13,10572,285
582,2013,14,12909,304
583,2013,32,26832,307
584,2013,20,7994,301
585,2013,24,19424,307
586,NULL,8,975,231
587,NULL,7,1303,185
588,NULL,1,392,135
589,2014,16,7669,280
