Source,Target,Weight,Type
3CB0D0299D1CADAF976144CD0472EB6F,3CB0D0299D1CADAF1E8F4DFBCC019789,6,Undirected
3CB0D0299D1CADAF9BEDCB6976161BE3,3CB0D0299D1CADAF1E8F4DFBCC019789,12,Undirected
3CB0D0299D1CADAFEB47CA10657AEA97,3CB0D0299D1CADAF1E8F4DFBCC019789,5,Undirected
3CB0D0299D1CADAFE426D2A4D0A48D37,3CB0D0299D1CADAF1E8F4DFBCC019789,11,Undirected
3CB0D0299D1CADAFFF24B32A1BF779B9,3CB0D0299D1CADAF223FC9601C16B9DB,22,Undirected
3CB0D0299D1CADAF9AF1A1FAF3549B0C,3CB0D0299D1CADAF223FC9601C16B9DB,18,Undirected
3CB0D0299D1CADAF40887359FC19595B,3CB0D0299D1CADAF223FC9601C16B9DB,13,Undirected
3CB0D0299D1CADAF6CD52C094641043D,3CB0D0299D1CADAF227414263FD70CDA,4,Undirected
3CB0D0299D1CADAFB618D3DEA2D8EDF0,3CB0D0299D1CADAF227414263FD70CDA,12,Undirected
3CB0D0299D1CADAFFF24B32A1BF779B9,3CB0D0299D1CADAF40887359FC19595B,12,Undirected
3CB0D0299D1CADAF9AF1A1FAF3549B0C,3CB0D0299D1CADAF40887359FC19595B,16,Undirected
3CB0D0299D1CADAF67CA8E6EE34B4D61,3CB0D0299D1CADAF40887359FC19595B,6,Undirected
3CB0D0299D1CADAF6CD52C094641043D,3CB0D0299D1CADAF40887359FC19595B,4,Undirected
3CB0D0299D1CADAF99C012ED0CD7F6E9,3CB0D0299D1CADAF40887359FC19595B,4,Undirected
3CB0D0299D1CADAF960799F3044141EB,3CB0D0299D1CADAF446E2D5BA3CD59C8,21,Undirected
3CB0D0299D1CADAF9BEDCB6976161BE3,3CB0D0299D1CADAF446E2D5BA3CD59C8,12,Undirected
3CB0D0299D1CADAFB260E73DA5517D73,3CB0D0299D1CADAF446E2D5BA3CD59C8,18,Undirected
3CB0D0299D1CADAFAEF88023F619D9FA,3CB0D0299D1CADAF446E2D5BA3CD59C8,19,Undirected
3CB0D0299D1CADAFEB47CA10657AEA97,3CB0D0299D1CADAF446E2D5BA3CD59C8,7,Undirected
3CB0D0299D1CADAFE426D2A4D0A48D37,3CB0D0299D1CADAF446E2D5BA3CD59C8,4,Undirected
3CB0D0299D1CADAFA2B0F5D31B22D3E8,3CB0D0299D1CADAF5CFD8BA17D746632,14,Undirected
3CB0D0299D1CADAFDE9F70BFB5C5C76F,3CB0D0299D1CADAF5CFD8BA17D746632,63,Undirected
3CB0D0299D1CADAFFA289A673F4A7FD7,3CB0D0299D1CADAF5CFD8BA17D746632,100,Undirected
3CB0D0299D1CADAFFFC1582BBDB3D74D,3CB0D0299D1CADAF5CFD8BA17D746632,7,Undirected
3CB0D0299D1CADAFBA01C68BE8CA166C,3CB0D0299D1CADAF61CFD06FFA0D3EFB,104,Undirected
3CB0D0299D1CADAFE27E2AFEE4722CCC,3CB0D0299D1CADAF61CFD06FFA0D3EFB,18,Undirected
3CB0D0299D1CADAF99C012ED0CD7F6E9,3CB0D0299D1CADAF61CFD06FFA0D3EFB,6,Undirected
3CB0D0299D1CADAF67CA8E6EE34B4D61,3CB0D0299D1CADAF61CFD06FFA0D3EFB,4,Undirected
3CB0D0299D1CADAF750E0434CB7AF64E,3CB0D0299D1CADAF65FCE1EE83327F20,5,Undirected
3CB0D0299D1CADAF9A464F7BA49C453A,3CB0D0299D1CADAF65FCE1EE83327F20,4,Undirected
3CB0D0299D1CADAFFF24B32A1BF779B9,3CB0D0299D1CADAF65FCE1EE83327F20,4,Undirected
8C8C8DAC8F75B1825A740CE3933C35B8,3CB0D0299D1CADAF67CA8E6EE34B4D61,6,Undirected
3CB0D0299D1CADAF99C012ED0CD7F6E9,3CB0D0299D1CADAF67CA8E6EE34B4D61,36,Undirected
3CB0D0299D1CADAFB618D3DEA2D8EDF0,3CB0D0299D1CADAF6CD52C094641043D,4,Undirected
3CB0D0299D1CADAFE21085F94B121EFA,3CB0D0299D1CADAF2A7017C242AF0399,25,Undirected
3CB0D0299D1CADAF5364E3E6C926E827,3CB0D0299D1CADAF2A7017C242AF0399,18,Undirected
3CB0D0299D1CADAF40887359FC19595B,3CB0D0299D1CADAF2A7017C242AF0399,4,Undirected
3CB0D0299D1CADAF9BEDCB6976161BE3,3CB0D0299D1CADAF960799F3044141EB,6,Undirected
3CB0D0299D1CADAFAEF88023F619D9FA,3CB0D0299D1CADAF960799F3044141EB,4,Undirected
3CB0D0299D1CADAFB260E73DA5517D73,3CB0D0299D1CADAF960799F3044141EB,15,Undirected
3CB0D0299D1CADAFF0C931CF8CF2B0B5,3CB0D0299D1CADAF976144CD0472EB6F,4,Undirected
3CB0D0299D1CADAFC2389DCC24D6640B,3CB0D0299D1CADAF9AF1A1FAF3549B0C,4,Undirected
3CB0D0299D1CADAFFF24B32A1BF779B9,3CB0D0299D1CADAF9AF1A1FAF3549B0C,22,Undirected
